,音节,构件数量,频率
982,ཁྲལ,3,155308
983,གསབ,3,155126
984,བརྟགས,5,154802
985,ཆུད,3,154248
986,བརྒྱན,5,153366
987,ལྷུང,4,153330
988,བརྗེ,4,153090
989,ཡངས,3,152978
990,མོལ,3,152972
991,ཚོམ,3,152686
992,མཐོར,4,152198
993,བསྐལ,4,151832
994,བགྲོད,5,151270
995,མཐུ,3,151052
996,བྱད,3,150224
997,སང,2,149594
998,འགྲམ,4,148644
999,ཕར,2,148572
1000,དམན,3,148504
1001,གཡུ,3,148328
1002,དབྱིབས,6,148216
1003,བསྐུལ,5,147824
1004,ཅུས,3,147794
1005,སླ,2,147674
1006,འགྲིམ,5,147578
1007,འགྲེམས,6,147270
1008,ཨཱ,2,147256
1009,ཕོངས,4,147188
1010,སྡང,3,147112
1011,བྲོ,3,146294
1012,ཁྲ,2,146140
1013,དོགས,4,146080
1014,བཅིངས,5,145596
1015,བསྒྲིགས,7,145508
1016,དོད,3,145350
1017,བགྱི,4,145162
1018,གམ,2,145128
1019,དྲོ,3,144312
1020,སྤུ,3,144056
1021,ཏིག,3,143852
1022,འཁྲུངས,6,143694
1023,རགས,3,143580
1024,བུས,3,143428
1025,འཕྲད,4,143412
1026,འབོད,4,142852
1027,བསམས,4,142682
1028,འབྲུག,5,142628
1029,གུར,3,142470
1030,ཐོད,3,142162
1031,གཡང,3,141836
1032,འདོགས,5,141426
1033,ཚོན,3,140964
1034,ཕག,2,140278
1035,ཚུར,3,140032
1036,སྐུར,4,139574
1037,དགུང,4,139540
1038,སྤྲད,4,138866
1039,འཚོགས,5,138382
1040,མུན,3,138340
1041,ནེ,2,137120
1042,དཔྱིད,5,136594
1043,འཇོམས,5,136490
1044,རག,2,136286
1045,ཧོ,2,136256
1046,ཕྲུག,4,135858
1047,ཟོག,3,135300
1048,འཁེལ,4,134974
1049,ཞན,2,134644
1050,དགུན,4,134094
1051,འབའ,3,134034
1052,བསྲུང,5,133554
1053,བསྒོམས,6,133434
1054,ལྕེ,3,132958
1055,བསྡད,4,132368
1056,གདུལ,4,132332
1057,སྟེར,4,132018
1058,གཞལ,3,131922
1059,འཕྲོ,4,131878
1060,ཉིས,3,131006
1061,གཟི,3,129984
1062,གདོན,4,129714
1063,མགྲིན,5,129686
