,音节,构件数量,频率
4001,བཀྱེས,5,1614
4002,བཤུར,4,1612
4003,ཨེད,3,1612
4004,འདིངས,5,1610
4005,ཤོམས,4,1608
4006,བསྡུམས,6,1606
4007,བཤེགས,5,1606
4008,སྙོ,3,1604
4009,སྐྱལ,4,1602
4010,རྒུམ,4,1602
4011,འབིག,4,1602
4012,ཨོར,3,1594
4013,ལཊ,2,1594
4014,འཕྱོས,5,1592
4015,གཞོ,3,1590
4016,མཐ,2,1586
4017,ཀྭན,3,1584
4018,སྦྲེ,4,1582
4019,ཨིར,3,1578
4020,པོང,3,1578
4021,ཧྭང,3,1576
4022,ཁྲིམ,4,1574
4023,ཧྥེན,4,1574
4024,འགང,3,1574
4025,བརྒྱའ,5,1574
4026,རོལད,4,1574
4027,འཐུབ,4,1572
4028,བསྣར,4,1572
4029,སྟེའུ,5,1570
4030,སྐྲུ,4,1564
4031,འཆིངས,5,1564
4032,ཞུག,3,1562
4033,འགྱུས,5,1562
4034,གཡིས,4,1562
4035,བསྐྱུང,6,1560
4036,ཁྲོང,4,1560
4037,བཻཌཱུརྱ,7,1560
4038,རྔོད,4,1558
4039,བརྣགས,5,1556
4040,རྨྱི,4,1554
4041,བྲུལ,4,1554
4042,སྒྲིམས,6,1554
4043,ཧོབ,3,1554
4044,ལྟོག,4,1554
4045,སྒོལ,4,1554
4046,བརྟུན,5,1552
4047,འཕྱངས,5,1550
4048,ཞས,2,1550
4049,ཕྱོག,4,1546
4050,ཁྲར,3,1546
4051,འབྲུལ,5,1544
4052,བསུམ,4,1544
4053,འགམ,3,1542
4054,སྣོམས,5,1540
4055,སྐོག,4,1538
4056,ཁྲའེ,4,1536
4057,ལྗོང,4,1532
4058,རྩོག,4,1532
4059,ཙྰ,2,1532
4060,གྲུགས,5,1526
4061,ཧྭགས,4,1526
4062,གཟེད,4,1526
4063,ཕྱེར,4,1522
4064,བུབས,4,1522
4065,དམད,3,1520
4066,གསངས,4,1518
4067,གདར,3,1518
4068,ཝིན,3,1518
4069,ཀྲིས,4,1516
4070,འཁྲུང,5,1514
4071,སྟིང,4,1512
4072,བཟློ,4,1512
4073,གཙེར,4,1510
4074,ཤེན,3,1508
4075,རྭས,3,1506
4076,ཐིའུ,4,1504
4077,གྱིང,4,1502
4078,འབས,3,1500
4079,དམི,3,1500
4080,ལྡེས,4,1496
4081,ནིག,3,1496
4082,འཛོ,3,1492
4083,ཀེམ,3,1490
4084,སྒྲེག,5,1490
4085,བྷང,2,1488
4086,སྒྲིབས,6,1486
4087,ཅོས,3,1486
4088,གཉེས,4,1486
4089,དཀན,3,1484
4090,འཛིམ,4,1482
4091,གྲོམ,4,1480
4092,འབན,3,1476
4093,ཟེད,3,1476
4094,གཏ,2,1470
4095,རྨེལ,4,1470
4096,ཡོའུ,4,1470
4097,བྷས,3,1468
4098,མངན,3,1464
4099,ཕྲང,3,1462
4100,བཅན,3,1462
4101,ཙིང,3,1460
4102,སྙོབ,4,1454
4103,འགྱེས,5,1452
4104,སྤྱར,4,1452
4105,བཟློགས,6,1450
4106,བསྒྲངས,6,1448
4107,ཛུང,3,1448
4108,ཨིག,3,1446
4109,པྱི,3,1444
4110,ཕྲོ,3,1444
4111,རླུ,3,1442
4112,དྭོགས,5,1440
4113,འཐེབ,4,1438
4114,བརྩོད,5,1438
4115,རྟོད,4,1436
4116,བིང,3,1434
4117,བསྣམ,4,1432
4118,འཐིང,4,1432
4119,ཛར,2,1430
4120,ཁེག,3,1428
4121,སྒུགས,5,1424
4122,ཀྱིར,4,1422
4123,ལིད,3,1420
4124,བཤོར,4,1420
4125,བཞིག,4,1420
4126,བསྩགས,5,1418
4127,ཁོགས,4,1416
4128,ཟུལ,3,1414
4129,བསྣུབ,5,1414
4130,ཟུན,3,1412
4131,ཁྲོབ,4,1408
4132,ལྟེམས,5,1408
4133,ལའ,2,1406
4134,མཇད,3,1404
4135,འཇུགས,5,1402
4136,འགེང,4,1402
4137,ཐྲ,2,1402
4138,བཟ,2,1398
4139,སྐེག,4,1398
4140,བལྡད,4,1398
4141,བཟན,3,1390
4142,ཀིམ,3,1386
4143,རྭར,3,1386
4144,སྦོར,4,1384
4145,ཧྭས,3,1384
4146,སྙོག,4,1384
4147,སྟགས,4,1384
4148,ལྷུགས,5,1384
4149,སྲེལ,4,1382
4150,སྙེར,4,1382
4151,གློང,4,1380
4152,ཀིང,3,1380
4153,དགལ,3,1380
4154,འབི,3,1378
4155,འཆེལ,4,1378
4156,འཁྱིག,5,1378
4157,མུལ,3,1376
4158,སློད,4,1372
4159,བརྫད,4,1370
4160,འཁྱིམས,6,1368
4161,གཟེང,4,1362
4162,སྤད,3,1362
4163,རྨར,3,1362
4164,འདྲེལ,5,1362
4165,འབྱེས,5,1360
4166,ལྕེར,4,1360
4167,ལྔན,3,1358
4168,སྟུན,4,1356
4169,བཅབ,3,1352
4170,ཞོམ,3,1352
4171,རྫམ,3,1348
4172,ཧྲིས,4,1348
4173,དཔྱས,4,1346
4174,སེག,3,1346
4175,མཚུལ,4,1344
4176,བསྒགས,5,1342
4177,འཕྲག,4,1342
4178,མཆད,3,1340
4179,ཝོལ,3,1340
4180,འཆུ,3,1338
4181,བྷར,3,1336
4182,བཙམས,4,1332
4183,བསྟེ,4,1332
4184,བརྔོ,4,1332
4185,ཛན,2,1332
4186,གློན,4,1330
4187,ནུལ,3,1330
4188,འབྲིར,5,1328
4189,ཏྀ,2,1328
4190,འགྲུ,4,1324
4191,བརྒྱུག,6,1322
4192,ཉོལ,3,1322
4193,ཏབ,2,1320
4194,སྡོར,4,1320
4195,ཐའ,2,1320
4196,གཡུས,4,1318
4197,སླེའུ,5,1316
4198,བསླན,4,1316
4199,ལྟིར,4,1316
4200,འགུར,4,1316
4201,སྟོམས,5,1316
4202,ཏུག,3,1314
4203,ཧྥུས,4,1314
4204,རེགས,4,1312
4205,ཡགས,3,1312
4206,རྫོག,4,1310
4207,ཝའེ,3,1308
4208,རྗས,3,1304
4209,དཀྲུང,5,1304
4210,འབྱུར,5,1304
4211,ཇར,2,1304
4212,སྒྱེལ,5,1302
4213,ཤྭི,3,1302
4214,སྦྲུ,4,1300
4215,ཚམས,3,1300
4216,ཐུམས,4,1300
4217,ཧེལ,3,1300
4218,མདོམས,5,1296
4219,སྙལ,3,1292
4220,བཅུམ,4,1290
4221,འབྱོལ,5,1290
4222,འབྱེ,4,1286
4223,བཟླུམས,6,1286
4224,བསར,3,1286
4225,ཡིབས,4,1286
4226,འཁྱོམ,5,1284
4227,ཅུག,3,1284
4228,བསྡོད,5,1282
4229,ནོང,3,1282
4230,རྡུངས,5,1280
4231,བརྩོམ,5,1280
4232,ཕེག,3,1278
4233,ཁྱོག,4,1278
4234,གྲཊ,3,1278
4235,གྲེན,4,1276
4236,མྱོངས,5,1276
4237,སྐྱོས,5,1276
4238,སྤུབས,5,1276
4239,ཏྲོ,3,1276
4240,ཏེལ,3,1274
4241,བུགས,4,1274
4242,གཅིས,4,1272
4243,ཀུས,3,1272
4244,རྗ,2,1270
4245,འགྱོ,4,1270
4246,ཤྭག,3,1270
4247,སྐུག,4,1268
4248,སྟབ,3,1266
4249,ཁིལ,3,1266
4250,ཧེར,3,1264
4251,ཧིག,3,1264
4252,གཞ,2,1262
4253,གཟིས,4,1262
4254,དྲོང,4,1260
4255,སྒྲོབ,5,1260
4256,སྨལ,3,1260
4257,ལྷོགས,5,1258
4258,འཛིས,4,1258
4259,ཇོན,3,1258
4260,ཇང,2,1258
4261,བསབས,4,1250
4262,བརྩེག,5,1248
4263,སྐབ,3,1248
4264,སྐྱུངས,6,1248
4265,སྤྱངས,5,1246
4266,རྨོར,4,1246
4267,ཁྱང,3,1244
4268,དིལ,3,1242
4269,བསླ,3,1240
4270,ཨོམ,3,1238
4271,དེན,3,1236
4272,ཁྱུས,4,1234
4273,རློགས,5,1234
4274,གླི,3,1234
4275,གཉག,3,1232
4276,རྫོད,4,1228
4277,རྟན,3,1228
4278,ཇན,2,1228
4279,ཡོགས,4,1224
4280,སྐུན,4,1224
4281,གཙོག,4,1224
4282,དིས,3,1224
4283,སྨྲང,4,1220
4284,བཞགས,4,1220
4285,བེང,3,1220
4286,འཐོ,3,1220
4287,གྱོམ,4,1220
4288,ཀྱོང,4,1218
4289,གཡེ,3,1218
4290,མཚ,2,1216
4291,འུལ,3,1216
4292,སྨྱིན,5,1214
4293,འཕམ,3,1214
4294,སྡིས,4,1214
4295,ཕྱད,3,1212
4296,ཀྲད,3,1212
4297,སྙེམ,4,1212
4298,སྲིངས,5,1210
4299,ཀྲུག,4,1210
4300,སྟེམས,5,1208
4301,གཅིགས,5,1208
4302,ཆིར,3,1204
4303,དགུམ,4,1202
4304,བསློག,5,1200
4305,ཁྱར,3,1196
4306,འབོམ,4,1194
4307,ཀྲེམ,4,1194
4308,རྟཊ,3,1192
4309,ཤའུ,3,1190
4310,འབུང,4,1188
4311,བཅོག,4,1186
4312,མཚམ,3,1186
4313,རྫིའུ,5,1184
4314,རྔུས,4,1184
4315,རོའུ,4,1184
4316,སྡོན,4,1184
4317,འགྲུམ,5,1182
4318,པེས,3,1180
4319,བསྭེ,4,1180
4320,བྲུད,4,1178
4321,སྲིས,4,1178
4322,སྭོ,3,1176
4323,ཐངས,3,1176
4324,བསན,3,1176
4325,ནེང,3,1174
4326,ཨོས,3,1174
4327,བརྩ,3,1172
4328,སྔང,3,1172
4329,ཐིལ,3,1172
4330,བལྟབ,4,1170
4331,སྲུས,4,1170
4332,ལྡངས,4,1166
4333,རླམ,3,1166
4334,འཁྲེན,5,1166
4335,སྙག,3,1166
4336,ཚེན,3,1166
4337,ཧྥེར,4,1166
4338,གཤོགས,5,1164
4339,བཤུམས,5,1162
4340,འདྲོན,5,1156
4341,འཕྱོན,5,1156
4342,བྱམ,3,1154
4343,དྭི,3,1150
4344,གཞིབས,5,1150
4345,འདལ,3,1150
4346,འཛུཊ,4,1150
4347,ཟེང,3,1150
4348,ནེལ,3,1148
4349,སྟིས,4,1142
4350,གཅག,3,1142
4351,འཁུས,4,1142
4352,ལྗ,2,1142
4353,བགྲོངས,6,1140
4354,ཁྱུགས,5,1140
4355,ཡེལ,3,1138
4356,བསྙན,4,1134
4357,ཟེག,3,1134
4358,མཇེས,4,1134
4359,འགི,3,1130
4360,སྐྱེམ,5,1126
4361,སྩ,2,1124
4362,འཆིར,4,1122
4363,བསེལ,4,1120
4364,རྡིབས,5,1120
4365,གློར,4,1120
4366,རེལ,3,1120
4367,སྤྲོར,5,1118
4368,ཧྥེས,4,1118
4369,སྭེལ,4,1118
4370,སྦིར,4,1116
4371,རྒྱུངས,6,1116
4372,མཆོས,4,1116
4373,འགྲོད,5,1114
4374,ཟིགས,4,1114
4375,ཕུམ,3,1112
4376,བསྒྲཌ,5,1108
4377,སྣམས,4,1106
4378,ཧྲུ,3,1104
4379,བྱེང,4,1104
4380,རྙེ,3,1104
4381,པམ,2,1102
4382,བེན,3,1100
4383,བསིང,4,1100
4384,གློས,4,1098
4385,སྔག,3,1098
4386,ཤུཊ,3,1098
4387,བརྔོན,5,1098
4388,འདུམས,5,1096
4389,ཏོལ,3,1096
4390,ཏྲག,3,1096
4391,བཤུད,4,1096
4392,རྡིག,4,1096
4393,འབང,3,1096
4394,ཏོའུ,4,1094
4395,དཀག,3,1094
4396,ཚྭས,3,1094
4397,ཕྲས,3,1092
4398,རྩོན,4,1092
4399,འཐུར,4,1092
4400,ཀློགས,5,1092
4401,ཀའ,2,1090
4402,མྱོག,4,1090
4403,གདག,3,1088
4404,བཏམས,4,1088
4405,བཏན,3,1088
4406,བཀྱིག,5,1086
4407,རྗོགས,5,1084
4408,ཝམ,2,1082
4409,ལྟབ,3,1080
4410,ཤེང,3,1080
4411,བྱའ,3,1076
4412,རོཌ,3,1076
4413,ཇོར,3,1076
4414,བཏད,3,1074
4415,བརྟོད,5,1072
4416,མེག,3,1072
4417,སྣན,3,1070
4418,ཛིཀ,3,1068
4419,ཏོས,3,1068
4420,སྡ,2,1064
4421,དམང,3,1062
4422,འོབ,3,1060
4423,འདྲིམ,5,1058
4424,པྲོ,3,1056
4425,གྱོལ,4,1056
4426,སྐྲུལ,5,1056
4427,དཔོ,3,1054
4428,གྲན,3,1052
4429,ཚུའུ,4,1052
4430,ཞིགས,4,1050
4431,འབུབ,4,1050
4432,འཐུམས,5,1050
4433,སྙུ,3,1050
4434,བིམ,3,1048
4435,གཅུག,4,1048
4436,སྤོབ,4,1048
4437,ཀོལ,3,1048
4438,སྣོག,4,1048
4439,བཀུ,3,1044
4440,བསྒྲོགས,7,1044
4441,བསྟེར,5,1044
4442,སྦོམས,5,1042
4443,བཤུམ,4,1042
4444,བརྟི,4,1040
4445,རྨྱ,3,1036
4446,ཕེལ,3,1032
4447,སེབ,3,1030
4448,མཚོགས,5,1030
4449,སྒྲུན,5,1028
4450,གཏིབ,4,1026
4451,རྨིང,4,1026
4452,གྱམ,3,1026
4453,སྟམ,3,1026
4454,བཤུགས,5,1024
4455,རྒྱོང,5,1024
4456,ཧྥོར,4,1022
4457,བརྫང,4,1020
4458,སྒྱི,4,1020
4459,བྱིར,4,1018
4460,འགོལ,4,1016
4461,ཟློགས,5,1014
4462,མཐོས,4,1014
4463,ཀུབ,3,1014
4464,འབྱུད,5,1014
4465,ཀླགས,4,1012
4466,སྙེས,4,1012
4467,སླངས,4,1012
4468,གཞུར,4,1010
4469,བཅེར,4,1006
4470,སྤྱུག,5,1006
4471,དཀྲོང,5,1006
4472,སྔུར,4,1006
4473,ཟུབ,3,1006
4474,སྙེང,4,1006
4475,དྲེན,4,1006
4476,བཤ,2,1004
4477,དྲིར,4,1004
4478,བསོར,4,1004
4479,སྐེར,4,1004
4480,ཀད,2,1004
4481,ཟོད,3,1002
4482,རྔེགས,5,1000
4483,མཉམས,4,998
4484,སླུངས,5,998
4485,མཚད,3,998
4486,ཆཊ,2,994
4487,རྣགས,4,990
4488,གསེ,3,990
4489,སྐོམས,5,990
4490,འཁྱོང,5,990
4491,ཞེར,3,988
4492,མོའ,3,988
4493,འཁན,3,988
4494,འངས,3,986
4495,གསོགས,5,984
4496,རྒང,3,984
4497,རྨོང,4,982
4498,ལུཌ,3,982
4499,ལྷྭམ,4,980
4500,རྔོས,4,980
4501,ནུམ,3,980
4502,འཛིར,4,976
4503,ཙད,2,976
4504,འཚིགས,5,974
4505,ཎར,2,974
4506,སྐེགས,5,972
4507,མཉེལ,4,972
4508,སྒྲག,4,972
4509,ཞུབ,3,972
4510,ཚུཌ,3,970
4511,རྫེ,3,970
4512,དཀྲོངས,6,968
4513,གླུམ,4,968
4514,སྡེའུ,5,964
4515,ལྟན,3,964
4516,ཤམས,3,964
4517,དཀྱུ,4,964
4518,འདྲད,4,964
4519,སྤྱལ,4,964
4520,བསྐྱུད,6,958
4521,བཀྲབས,5,958
4522,གྲེས,4,958
4523,ཅབ,2,958
4524,བསྐྱུགས,7,958
4525,བའེ,3,958
4526,འཚིམ,4,956
4527,བཀུས,4,956
4528,ཧྲོས,4,956
4529,ཆུམ,3,954
4530,བསིངས,5,952
4531,མནབ,3,952
4532,བརྡུགས,6,952
4533,ལྷུམ,4,952
4534,མཛ,2,950
4535,ཁོམས,4,950
4536,མཛུམ,4,950
4537,འཛུ,3,948
4538,སྙགས,4,948
4539,ཏུལ,3,948
4540,རྗི,3,948
4541,དྭམ,3,948
4542,དབུང,4,946
4543,འཛུར,4,946
4544,ཙེམ,3,946
4545,གཟུཊ,4,946
4546,གཟོབ,4,944
4547,བསྐུང,5,944
4548,ལྕཊ,3,944
4549,སྔོས,4,942
4550,གཅུར,4,942
4551,ཇོག,3,942
4552,བྲེའུ,5,940
4553,འདེག,4,940
4554,རླབ,3,940
4555,སྤོག,4,940
4556,ཁྱིའུ,5,940
4557,ཧོད,3,940
4558,ཤོགས,4,938
4559,སྣི,3,936
4560,དབོས,4,936
4561,ཁིར,3,936
4562,སྤན,3,934
4563,བསེད,4,934
4564,བྲིང,4,934
4565,ཁྱེའུས,6,934
4566,བདུངས,5,930
4567,བྱིབས,5,930
4568,བདུ,3,928
4569,ཛེས,3,928
4570,གཤེག,4,926
4571,སྐྱབ,4,926
4572,འབྱོ,4,926
4573,བསྩོལ,5,926
4574,ཆམས,3,924
4575,གཏིག,4,924
4576,སྦོང,4,924
4577,འབྲབ,4,924
4578,ཀབ,2,924
4579,འཇད,3,922
4580,མཁྱེ,4,922
4581,བཀུམས,5,920
4582,སྲིའུ,5,918
4583,སྤས,3,916
4584,འཐོལ,4,914
4585,ཁྱིལ,4,914
4586,དེག,3,914
4587,སྤེའུ,5,914
4588,རྫོས,4,914
4589,གདེག,4,912
4590,བདུང,4,912
4591,ཏོགས,4,910
4592,བརྫོད,5,908
4593,དགྱེར,5,904
4594,ཁའ,2,904
4595,ལྡུགས,5,900
4596,བརྔོད,5,900
4597,བསྟུངས,6,900
4598,སྒྱ,3,900
4599,ཀླེ,3,898
4600,ཀུད,3,898
4601,ལྡེམས,5,898
4602,བསྟུ,4,896
4603,སྟིམ,4,896
4604,སྦད,3,894
4605,འབྱི,4,894
4606,ཏགས,3,894
4607,བྲུབས,5,892
4608,བསྟནད,5,892
4609,སླབ,3,890
4610,འདུགས,5,888
4611,ཛབ,2,886
4612,སྨིར,4,886
4613,རྔེའུ,5,884
4614,ཧེས,3,884
4615,རྙིས,4,882
4616,འབོབ,4,882
4617,ཡའེ,3,882
4618,ཝོན,3,882
4619,གཡ,2,880
4620,རྟོཊ,4,880
4621,འཕྲིགས,6,878
4622,འགྲོངས,6,878
4623,བཏུགས,5,878
4624,འབྱུ,4,876
4625,ཙས,2,876
4626,ཧྭན,3,874
4627,བཙུཌ,4,870
4628,མཆུས,4,870
4629,ཁེའུ,4,870
4630,གྲེའུ,5,866
4631,ཤོངས,4,866
4632,གཟོས,4,866
4633,དབྱུངས,6,866
4634,སྩོ,3,866
4635,ཁྱམ,3,864
4636,དཔེའུ,5,862
4637,སོའུ,4,862
4638,གཅོམ,4,858
4639,རྙང,3,858
4640,སིངས,4,858
4641,ཀྲབ,3,858
4642,བསླེས,5,858
4643,སྥུ,3,856
4644,སྙུགས,5,856
4645,ཨུའུ,4,856
4646,ཏྲར,3,856
4647,གཉིན,4,856
4648,གཤོ,3,852
4649,འཁྲལ,4,852
4650,བཞུཊ,4,852
4651,འཛོང,4,850
4652,འཇུམ,4,848
4653,ཅའེ,3,846
4654,སྒྱུང,5,846
4655,ཁྱོམ,4,844
4656,སྤག,3,842
4657,འཇོགས,5,842
4658,ལྡིངས,5,842
4659,བསྐྲོད,6,842
4660,འཐེམས,5,842
4661,དབྱེད,5,842
4662,བལྟན,4,842
4663,སྤྱིའུ,6,840
4664,བལྡགས,5,840
4665,ཅུའེ,4,840
4666,སྦྲོན,5,838
4667,མིགས,4,838
4668,བཞུན,4,836
4669,ཤིབ,3,836
4670,སྦྱིར,5,836
4671,བཟབ,3,836
4672,རེམས,4,836
4673,བསྟོས,5,836
4674,རྨངས,4,834
4675,འཛོག,4,834
4676,དབྱ,3,832
4677,བཤོ,3,832
4678,སྲེའུ,5,832
4679,ལྡམ,3,830
4680,རྡུག,4,830
4681,དམིཌ,4,828
4682,རྟུ,3,828
4683,སྩང,3,828
4684,ཕིས,3,828
4685,འཐར,3,826
4686,སྟེམ,4,824
4687,ལྭང,3,824
4688,བཏོང,4,822
4689,བེལ,3,822
4690,རློ,3,820
4691,ངབ,2,820
4692,བསྲིས,5,820
4693,སྦེག,4,818
4694,གླེག,4,818
4695,ཀྭང,3,818
4696,པོའུ,4,818
4697,ཕུངས,4,816
4698,ཚིན,3,816
4699,བྱུད,4,816
4700,གཡབས,4,814
4701,སྲོགས,5,814
4702,སྨུགས,5,814
4703,ཧེན,3,814
4704,རྫེའུ,5,812
4705,མཁྱིད,5,812
4706,གཟགས,4,810
4707,ཨེས,3,810
4708,འཁྱོམས,6,810
4709,སྙེལ,4,808
4710,ཡོའན,4,806
4711,ལྷའ,3,806
4712,སྦོད,4,804
4713,ཧུམ,3,804
4714,འདྲིན,5,802
4715,བརྔུབ,5,802
4716,འདངས,4,802
4717,རྔས,3,802
4718,ཧའར,3,802
4719,ཀའུ,3,800
4720,ཕྲིལ,4,800
4721,ཧའུ,3,798
4722,ཙོར,3,798
4723,བཙ,2,796
4724,འདད,3,796
4725,ཐུབས,4,796
4726,གྱས,3,796
4727,བསྙགས,5,794
4728,དམིཊ,4,792
4729,འགྲ,3,790
4730,ཙུམ,3,790
4731,ཆོར,3,790
4732,གཉས,3,790
4733,ཆིབ,3,788
4734,སྙིག,4,788
4735,སྨང,3,788
4736,མཆོན,4,788
4737,གཤིག,4,786
4738,དཀལ,3,786
4739,སྟིམས,5,786
4740,ཀྱིལ,4,784
4741,སྙང,3,784
4742,བཀྲོང,5,784
4743,སྦྱག,4,782
4744,རྡུར,4,782
4745,བསྡིག,5,782
4746,ཏུད,3,782
4747,ཏྲོང,4,778
4748,ཙོའུ,4,778
4749,གཅེ,3,778
4750,ཕའ,2,778
4751,ནིའུ,4,776
4752,པུང,3,776
4753,མཐོད,4,776
4754,འགེད,4,774
4755,གེག,3,774
4756,གཏུར,4,772
4757,བསྡོང,5,772
4758,གཙན,3,772
4759,སྲོན,4,772
4760,མཚུང,4,770
4761,གཟིཊ,4,770
4762,གྲེང,4,768
4763,ཅོམ,3,768
4764,སྦམ,3,768
4765,བམས,3,768
4766,སྐྲས,4,766
4767,གསོལད,5,766
4768,རྒྱའ,4,766
4769,མྲི,3,764
4770,བསྟུང,5,764
4771,ཁྱིམས,5,764
4772,མྱུང,4,762
4773,ལྟེངས,5,762
4774,འབྱོག,5,760
4775,བཙུར,4,760
4776,གཟུས,4,758
4777,སྒོགས,5,758
4778,བསྟུས,5,756
4779,བཞ,2,754
4780,བསྒྱུ,5,754
4781,བཏངས,4,754
4782,ཇེས,3,752
4783,གཙབ,3,750
4784,ཉོར,3,746
4785,འགུམས,5,744
4786,གཅེའུ,5,744
4787,ནོལ,3,744
4788,བསྙེ,4,744
4789,དགའས,4,744
4790,ཉད,2,742
4791,ཨིས,3,740
4792,སྒྲུལ,5,740
4793,འགེར,4,740
4794,བྱོད,4,738
4795,བསྲ,3,738
4796,ལའུ,3,738
4797,སྣོར,4,738
4798,ཐྲིག,4,738
4799,ཀྲམ,3,738
4800,འཛ,2,736
4801,གཏུལ,4,736
4802,རྩེའུ,5,736
4803,ཇལ,2,736
4804,བཀྲགས,5,736
4805,ཝེལ,3,736
4806,འདེར,4,736
4807,འགུང,4,736
4808,ཙེན,3,734
4809,བཀྭག,4,734
4810,ཆོབ,3,730
4811,ཆོང,3,730
4812,ལྟིག,4,730
4813,ཙིའུ,4,728
4814,གསམ,3,728
4815,སུབས,4,726
4816,ཧྲོག,4,726
4817,གཞམས,4,724
4818,ལེའུས,5,724
4819,དཔྱའ,4,724
4820,ལྭས,3,724
4821,སྐྲར,4,722
4822,ཁྲིལ,4,722
4823,མཚངས,4,720
4824,སྲེས,4,720
4825,ཁྲིང,4,720
4826,བཞོགས,5,718
4827,ངོག,3,718
4828,ཀྱས,3,718
4829,འཕྱེས,5,716
4830,ཙེག,3,716
4831,ཡེའུ,4,716
4832,གཞེར,4,716
4833,བགགས,4,714
4834,ཀྲིར,4,714
4835,འགྱར,4,714
4836,ཚོངས,4,712
4837,བསྲུ,4,712
4838,སྟོག,4,712
4839,བཅིར,4,710
4840,བགྲུངས,6,708
4841,སླེལ,4,708
4842,སྣབ,3,708
4843,ལྷའུ,4,708
4844,བཟེ,3,706
4845,བཟླུམ,5,706
4846,འཁྲང,4,706
4847,མཇེ,3,706
4848,ཞའེ,3,706
4849,འཛེང,4,706
4850,ཇིམ,3,706
4851,པངས,3,706
4852,བསྟང,4,704
4853,འཇམས,4,704
4854,དགོག,4,702
4855,བཞོག,4,702
4856,ཛོད,3,702
4857,བྱངས,4,702
4858,འཇ,2,700
4859,སྐྲགས,5,700
4860,གེན,3,700
4861,རྐྱེ,4,700
4862,ཚུམས,4,698
4863,སྤེད,4,698
4864,མདོན,4,698
4865,གཟིང,4,696
4866,དཔེན,4,696
4867,ཕྱོས,4,696
4868,བསྔ,3,694
4869,དཀས,3,694
4870,འཁྲོས,5,694
4871,ཇེམ,3,694
4872,བལྟབས,5,692
4873,སྔལ,3,692
4874,འཆིས,4,692
4875,རྫེས,4,690
4876,བསྙབས,5,690
4877,ལྒིང,4,690
4878,ཚེད,3,688
4879,རྔབས,4,688
4880,ཇས,2,688
4881,གབོད,4,686
4882,ལྡུར,4,686
4883,བརྗོ,4,686
4884,སྒྲོད,5,684
4885,བརྒྱུན,6,684
4886,སྒྲོང,5,684
4887,འུས,3,680
4888,བསྒོངས,6,680
4889,ཙའེ,3,680
4890,མཇའ,3,680
4891,ཏུའེ,4,678
4892,འགྲོང,5,678
4893,སྣེལ,4,678
4894,མཚོང,4,678
4895,རྡོན,4,678
4896,འཐགས,4,676
4897,ཧེད,3,676
4898,འགོམས,5,674
4899,སྒྲོངས,6,674
4900,ཀུནད,4,674
4901,གཅིར,4,672
4902,འགྱོར,5,672
4903,ཛིག,3,670
4904,འཆ,2,668
4905,འཕ,2,668
4906,བསྐྱས,5,668
4907,ཏྲེམ,4,668
4908,གཙ,2,666
4909,བསྟིང,5,666
4910,དྲོལ,4,666
4911,འཁྲ,3,666
4912,རྨིགས,5,666
4913,གྱུས,4,666
4914,བསྣ,3,666
4915,ལྔགས,4,666
4916,ཁྱེརས,5,664
4917,ཝུང,3,664
4918,གྱིད,4,662
4919,ཕྲོས,4,662
4920,པོམ,3,662
4921,རྙོངས,5,660
4922,ལྷངས,4,660
4923,ལྷབས,4,660
4924,ཚིར,3,658
4925,ལམས,3,658
4926,ཧེབ,3,658
4927,ཟིངས,4,658
4928,འབིས,4,658
4929,འཁྲེགས,6,656
4930,གླར,3,654
4931,འཆོང,4,654
4932,ལྷོས,4,654
4933,བསྒག,4,652
4934,ངུད,3,652
4935,སྤབས,4,652
4936,ཚུངས,4,652
4937,འཛེ,3,652
4938,གྭའུ,4,652
4939,འགེ,3,652
4940,ཁིན,3,652
4941,མཆུར,4,650
4942,གནུར,4,650
4943,ཀྱུང,4,650
4944,རྙོང,4,648
4945,འགྲིན,5,648
4946,རྙན,3,648
4947,འཚོཌ,4,646
4948,ཕེས,3,646
4949,རའེ,3,646
4950,དོངས,4,644
4951,དགྲོང,5,644
4952,གཞུད,4,644
4953,ཚུས,3,642
4954,གཟེག,4,642
4955,བཙངས,4,642
4956,རྐྱན,4,642
4957,ཧྲེམ,4,642
4958,སྟོགས,5,642
4959,ཉབ,2,638
4960,གོགས,4,636
4961,དིམ,3,636
4962,ཀྱེས,4,636
4963,ཚྭར,3,636
4964,བསྙོད,5,634
4965,སྐུངས,5,634
4966,གཅང,3,634
4967,ཕྲོད,4,634
4968,སྤྲགས,5,634
4969,གྲོཊ,4,634
4970,བལྡབས,5,632
4971,ནོམས,4,632
4972,ཏུམ,3,632
4973,ཀྱིང,4,632
4974,གཏོན,4,632
4975,ཚུབས,4,632
4976,ཇབ,2,632
4977,འཆིམས,5,632
4978,དྲད,3,630
4979,རྐོན,4,630
4980,གཙོང,4,630
4981,ཧིས,3,630
4982,བཀྱལ,4,626
4983,ཞུཊ,3,626
4984,ཐིར,3,626
4985,དིབ,3,626
4986,ཕྲེའུ,5,624
4987,འཇཌ,3,624
4988,པིད,3,624
4989,ཧྲངས,4,624
4990,བསིགས,5,624
4991,ལབས,3,624
4992,པུད,3,622
4993,མནས,3,622
4994,རྐམ,3,622
4995,མིལ,3,622
4996,ཚུམ,3,622
4997,རྔུར,4,622
4998,རྡེབས,5,618
4999,བསྒྲང,5,618
5000,འདུབ,4,618
5001,ཧྥུར,4,618
5002,གླེབས,5,614
